Date,StartTime,Subject,trialnumber,Cond,TrialError,correct,RT,WaitStart,StimDur,DimmTime,RelTime,RTcalc,WaitRew,numRew
2014_06_23,10:04:18,Ingrid,1,2,0,1,965,1076,3283,1124,2096,972,111,1
2014_06_23,10:04:23,Ingrid,2,4,5,0,NaN,826,3099,NaN,2257,NaN,NaN,0
2014_06_23,10:04:30,Ingrid,3,4,5,0,NaN,866,2450,NaN,1569,NaN,NaN,0
2014_06_23,10:04:35,Ingrid,4,3,0,1,146,815,2566,1484,1637,153,115,1
2014_06_23,10:04:39,Ingrid,5,2,0,1,384,125,1849,1224,1614,390,111,2
2014_06_23,10:04:43,Ingrid,6,4,5,0,NaN,1050,2283,NaN,1222,NaN,NaN,0
2014_06_23,10:04:57,Ingrid,9,1,0,1,843,701,2432,765,1613,848,119,0
2014_07_23,10:04:16,Ingrid,14,5,0,1,745,635,2733,1231,1982,751,117,0
2014_07_23,10:04:31,Ingrid,17,1,0,1,881,624,2199,575,1462,887,114,1
2014_07_23,10:04:35,Ingrid,18,3,0,1,685,240,2032,993,1684,691,109,0
2014_07_23,10:04:55,Ingrid,25,5,0,1,815,708,2666,1025,1846,821,113,0
2014_07_23,10:04:59,Ingrid,26,1,0,1,765,343,1749,523,1295,772,112,0
2014_08_23,10:04:04,Ingrid,27,5,5,0,NaN,637,1666,NaN,1017,NaN,NaN,0
2014_08_23,10:04:08,Ingrid,28,4,0,1,270,698,1983,901,1177,276,108,1
2014_08_23,10:04:21,Ingrid,31,4,0,1,589,320,1833,813,1408,595,106,0
2014_08_23,10:04:39,Ingrid,36,3,0,1,689,609,2099,691,1385,694,106,0
2014_08_23,10:04:43,Ingrid,37,4,0,1,316,379,1599,787,1108,321,113,1
2014_08_23,10:04:46,Ingrid,38,5,0,1,172,322,1466,861,1038,177,107,2
2014_08_23,10:04:54,Ingrid,40,4,0,1,335,412,1633,771,1111,340,111,0
2014_08_23,10:04:57,Ingrid,41,4,0,1,236,492,1616,775,1016,241,109,0
2014_09_23,10:04:42,Ingrid,52,5,0,1,981,659,2533,774,1761,987,113,0
2014_09_23,10:04:46,Ingrid,53,4,5,0,NaN,884,1567,NaN,671,NaN,NaN,0
2014_10_23,10:04:00,Ingrid,56,3,0,1,632,452,1833,631,1269,638,113,0
2014_10_23,10:04:03,Ingrid,57,5,0,1,564,335,1766,748,1318,570,114,0
2014_10_23,10:04:08,Ingrid,58,4,0,1,177,404,1400,696,878,182,118,1
2014_10_23,10:04:21,Ingrid,61,5,0,1,447,503,1816,747,1199,452,115,2
2014_10_23,10:04:24,Ingrid,62,4,0,1,442,332,1582,684,1131,447,120,0
2014_10_23,10:04:28,Ingrid,63,1,0,1,653,35,1366,565,1223,658,109,1
2014_10_23,10:04:31,Ingrid,64,4,0,1,111,474,1399,692,809,117,117,0
2014_10_23,10:04:52,Ingrid,69,4,0,1,707,545,2049,671,1384,713,121,0
2014_10_23,10:04:56,Ingrid,70,4,0,1,503,381,1666,668,1177,509,108,1
2014_10_23,10:04:59,Ingrid,71,5,0,1,235,254,1333,729,970,241,110,0
2014_11_23,10:04:03,Ingrid,72,4,0,1,329,435,1566,681,1016,335,116,0
2014_11_23,10:04:17,Ingrid,75,4,0,1,565,541,1900,676,1246,570,114,0
2014_11_23,10:04:21,Ingrid,76,4,0,1,898,336,2016,664,1568,904,113,0
2014_11_23,10:04:26,Ingrid,77,4,5,0,NaN,493,1149,NaN,648,NaN,NaN,1
2014_11_23,10:04:31,Ingrid,78,5,0,1,589,495,1916,721,1315,594,107,1
2014_11_23,10:04:44,Ingrid,81,4,0,1,926,456,2165,660,1591,931,119,0
2014_11_23,10:04:49,Ingrid,82,2,0,1,794,105,1583,562,1361,799,118,0
2014_11_23,10:04:53,Ingrid,83,4,0,1,586,594,1949,655,1246,591,110,0
2014_11_23,10:04:57,Ingrid,84,2,0,1,420,448,1549,568,993,425,109,2
2014_12_23,10:04:01,Ingrid,85,5,0,1,189,60,1067,707,901,194,106,0
2014_12_23,10:04:05,Ingrid,86,1,0,1,359,403,1400,514,879,365,119,0
2014_12_23,10:04:19,Ingrid,89,4,0,1,1042,541,2366,659,1706,1047,120,0
2014_12_23,10:04:23,Ingrid,90,4,0,1,280,455,1516,662,947,285,115,0
2014_12_23,10:04:26,Ingrid,91,4,0,1,246,450,1466,649,901,252,115,0
2014_12_23,10:04:31,Ingrid,92,2,0,1,867,701,2799,1115,1987,872,112,0
2014_12_23,10:04:37,Ingrid,93,1,5,0,NaN,449,1216,NaN,763,NaN,NaN,0
2014_12_23,10:04:41,Ingrid,94,1,0,1,364,518,1716,715,1085,370,114,0
2014_12_23,10:04:44,Ingrid,95,4,5,0,NaN,569,1466,NaN,880,NaN,NaN,0
2014_12_23,10:04:57,Ingrid,98,3,5,0,NaN,1241,2016,NaN,763,NaN,NaN,0
2014_13_23,10:04:07,Ingrid,100,4,0,1,587,762,2665,1204,1797,593,107,0
2014_13_23,10:04:12,Ingrid,101,1,0,1,554,657,1949,626,1185,559,108,0
2014_13_23,10:04:17,Ingrid,102,3,5,0,NaN,519,1616,NaN,1085,NaN,NaN,0
2014_13_23,10:04:20,Ingrid,103,1,0,1,1118,541,2449,675,1798,1123,111,0
2014_13_23,10:04:25,Ingrid,104,4,0,1,587,615,2566,1251,1844,593,108,0
2014_13_23,10:04:30,Ingrid,105,4,5,0,NaN,450,1133,NaN,671,NaN,NaN,2
2014_13_23,10:04:33,Ingrid,106,4,5,0,NaN,478,1599,NaN,1107,NaN,NaN,2
2014_13_23,10:04:37,Ingrid,107,2,0,1,1069,523,2499,793,1867,1074,110,0
2014_13_23,10:04:58,Ingrid,112,4,0,1,883,550,2482,932,1821,889,112,0
2014_14_23,10:04:03,Ingrid,113,5,5,0,NaN,507,1632,NaN,1108,NaN,NaN,1
2014_14_23,10:04:16,Ingrid,116,3,1,0,NaN,611,2633,756,NaN,NaN,NaN,0
2014_14_23,10:04:31,Ingrid,118,5,0,1,901,664,2732,1052,1959,907,110,0
2014_14_23,10:04:35,Ingrid,119,3,0,1,636,495,2033,788,1429,641,109,1
2014_14_23,10:04:39,Ingrid,120,4,5,0,NaN,378,1200,NaN,809,NaN,NaN,0
2014_14_23,10:04:43,Ingrid,121,4,0,1,812,244,2066,889,1706,817,117,0
2014_14_23,10:04:56,Ingrid,124,3,0,1,1082,660,2616,756,1843,1087,113,0
2014_15_23,10:04:01,Ingrid,125,4,0,1,681,539,2200,861,1548,687,113,0
2014_15_23,10:04:07,Ingrid,126,3,5,0,NaN,449,1149,NaN,694,NaN,NaN,1
2014_15_23,10:04:20,Ingrid,129,5,1,0,NaN,669,2849,914,NaN,NaN,NaN,0
2014_15_23,10:04:56,Ingrid,137,4,0,1,727,529,2099,720,1453,733,118,0
2014_16_23,10:04:00,Ingrid,138,4,0,1,727,595,2166,721,1454,733,117,2
2014_16_23,10:04:14,Ingrid,141,3,0,1,661,618,2099,698,1365,667,117,0
2014_16_23,10:04:34,Ingrid,146,1,0,1,1039,538,2232,528,1573,1045,122,0
2014_16_23,10:04:38,Ingrid,147,5,0,1,261,287,1466,796,1062,266,118,1
2014_16_23,10:04:41,Ingrid,148,4,0,1,545,519,1883,698,1248,550,117,2
2014_16_23,10:04:45,Ingrid,149,4,0,1,281,496,1583,687,974,287,114,0
2014_16_23,10:04:58,Ingrid,152,4,0,1,163,497,1466,686,855,169,115,1
2014_17_23,10:04:01,Ingrid,153,1,0,1,483,539,1667,528,1017,489,111,0
2014_17_23,10:04:05,Ingrid,154,3,0,1,125,338,1266,678,809,131,120,0
2014_17_23,10:04:18,Ingrid,157,1,0,1,558,432,1683,568,1131,563,121,1
2014_17_23,10:04:21,Ingrid,158,5,0,1,508,701,2066,732,1246,514,120,0
2014_17_23,10:04:25,Ingrid,159,5,5,0,NaN,643,1350,NaN,695,NaN,NaN,3
2014_17_23,10:04:29,Ingrid,160,4,5,0,NaN,1024,1566,NaN,535,NaN,NaN,3
2014_17_23,10:04:54,Ingrid,166,1,0,1,1022,664,2316,519,1547,1028,106,0
2014_17_23,10:04:57,Ingrid,167,3,0,1,632,408,1766,608,1245,637,114,4
2014_18_23,10:04:03,Ingrid,168,4,0,1,375,450,1616,666,1046,380,121,0
2014_18_23,10:04:06,Ingrid,169,4,0,1,282,407,1466,659,947,288,113,0
2014_18_23,10:04:19,Ingrid,172,4,0,1,515,576,1866,657,1177,520,114,1
2014_18_23,10:04:22,Ingrid,173,3,0,1,926,499,2166,617,1548,931,119,0
2014_18_23,10:04:28,Ingrid,174,3,0,1,486,450,1666,617,1108,491,109,2
2014_18_23,10:04:33,Ingrid,175,5,0,1,132,403,1349,696,834,138,113,4
2014_18_23,10:04:36,Ingrid,176,3,0,1,442,284,1466,615,1063,448,120,0
2014_18_23,10:04:41,Ingrid,177,4,0,1,156,401,1316,649,810,161,106,1
2014_18_23,10:04:45,Ingrid,178,3,5,0,NaN,426,1000,NaN,556,NaN,NaN,0
2014_18_23,10:04:59,Ingrid,181,5,0,1,650,431,1883,685,1341,656,112,0
2014_19_23,10:04:04,Ingrid,182,3,0,1,609,425,1766,608,1223,615,119,0
2014_19_23,10:04:53,Ingrid,194,1,0,1,1208,629,2483,521,1734,1213,120,0
2014_19_23,10:04:57,Ingrid,195,3,0,1,549,450,1717,600,1154,554,113,0
2014_20_23,10:04:00,Ingrid,196,4,0,1,249,427,1416,622,877,255,113,1
2014_20_23,10:04:04,Ingrid,197,2,5,0,NaN,380,1299,NaN,904,NaN,NaN,2
2014_20_23,10:04:19,Ingrid,200,4,5,0,NaN,450,1866,NaN,1407,NaN,NaN,0
2014_20_23,10:04:42,Ingrid,207,1,0,1,1114,654,2566,679,1799,1120,114,0
2014_20_23,10:04:46,Ingrid,208,2,0,1,825,446,2132,737,1568,831,119,2
2014_20_23,10:04:52,Ingrid,209,4,5,0,NaN,361,1266,NaN,900,NaN,NaN,0
2014_20_23,10:04:56,Ingrid,210,4,0,1,411,331,1949,1085,1502,417,117,0
2014_21_23,10:04:01,Ingrid,211,4,0,1,131,356,1600,994,1131,137,114,1
2014_21_23,10:04:14,Ingrid,214,1,0,1,671,594,1900,523,1200,677,107,0
2014_21_23,10:04:17,Ingrid,215,3,0,1,558,702,2182,797,1361,564,120,0
2014_21_23,10:04:22,Ingrid,216,3,0,1,472,541,1966,842,1320,478,106,0
2014_21_23,10:04:27,Ingrid,217,5,5,0,NaN,449,1416,NaN,948,NaN,NaN,0
2014_21_23,10:04:31,Ingrid,218,4,0,1,451,543,2082,973,1430,457,110,1
2014_21_23,10:04:36,Ingrid,219,2,0,1,596,453,1816,646,1248,602,116,0
2014_21_23,10:04:41,Ingrid,220,2,0,1,467,383,1716,750,1223,473,111,0
2014_21_23,10:04:46,Ingrid,221,2,5,0,NaN,428,1066,NaN,625,NaN,NaN,0
2014_21_23,10:04:50,Ingrid,222,3,0,1,169,331,1433,818,993,175,109,0
2014_22_23,10:04:03,Ingrid,225,4,0,1,512,553,2100,914,1431,517,117,0
2014_22_23,10:04:07,Ingrid,226,3,0,1,628,588,2182,844,1478,634,117,1
2014_22_23,10:04:24,Ingrid,230,1,0,1,597,620,1966,630,1232,602,115,2
2014_22_23,10:04:28,Ingrid,231,4,1,0,NaN,400,2482,816,NaN,NaN,NaN,0
2014_22_23,10:04:42,Ingrid,233,4,0,1,653,458,2066,841,1499,658,109,1
2014_22_23,10:04:47,Ingrid,234,3,0,1,562,332,1716,701,1269,568,116,0
2014_22_23,10:04:50,Ingrid,235,2,0,1,795,243,1766,607,1407,800,117,0
2014_22_23,10:04:54,Ingrid,236,5,5,0,NaN,433,1400,933,946,NaN,NaN,1
2014_22_23,10:04:58,Ingrid,237,2,0,1,841,447,2066,652,1499,847,121,2
2014_23_23,10:04:03,Ingrid,238,1,0,1,558,332,1583,568,1131,563,121,0
2014_23_23,10:04:07,Ingrid,239,1,0,1,510,447,1649,569,1085,516,118,0
2014_23_23,10:04:12,Ingrid,240,3,5,0,NaN,1368,1850,NaN,464,NaN,NaN,0
2014_23_23,10:04:16,Ingrid,241,3,0,1,667,446,1966,737,1410,673,111,0
2014_23_23,10:04:19,Ingrid,242,5,5,0,NaN,406,1350,860,925,NaN,NaN,0
2014_23_23,10:04:24,Ingrid,243,4,0,1,473,470,1883,813,1292,479,122,0
2014_23_23,10:04:28,Ingrid,244,1,0,1,653,585,1916,564,1223,659,108,0
2014_23_23,10:04:33,Ingrid,245,1,0,1,560,447,1649,519,1085,566,118,0
2014_23_23,10:04:46,Ingrid,248,1,0,1,691,656,1999,527,1223,696,121,0
2014_23_23,10:04:51,Ingrid,249,5,0,1,469,542,1965,840,1315,475,109,0
2014_23_23,10:04:56,Ingrid,250,5,0,1,841,447,2249,836,1683,847,120,0
2014_24_23,10:04:00,Ingrid,251,5,5,0,NaN,402,1100,NaN,693,NaN,NaN,1
2014_24_23,10:04:04,Ingrid,252,4,0,1,702,423,2033,794,1501,707,110,2
2014_24_23,10:04:08,Ingrid,253,5,0,1,282,462,1683,821,1109,288,113,0
2014_24_23,10:04:13,Ingrid,254,3,0,1,534,471,1850,729,1269,540,111,0
2014_24_23,10:04:16,Ingrid,255,3,0,1,848,1451,3132,714,1568,854,114,0
