obs	cond	rt
1	A	Inf
1	AV	369
1	A	278
1	V	363
1	V	274
1	A	235
1	V	264
1	V	246
1	V	240
1	AV	190
1	A	266
1	V	523
1	A	220
1	V	264
1	A	237
1	A	534
1	V	232
1	AV	194
1	AV	210
1	V	365
1	A	200
1	AV	190
1	V	273
1	A	219
1	V	276
1	AV	257
1	V	218
1	V	225
1	A	517
1	V	266
1	A	247
1	O	120
1	A	436
1	V	218
1	A	197
1	AV	187
1	A	226
1	AV	216
1	V	259
1	AV	181
1	V	234
1	A	200
1	AV	186
1	A	293
1	AV	183
1	AV	184
1	A	212
1	A	263
1	AV	527
1	V	352
1	A	417
1	V	306
1	AV	206
1	V	244
1	AV	183
1	A	206
1	V	298
1	AV	263
1	AV	235
1	AV	289
1	V	516
1	A	212
1	A	196
1	A	272
1	A	186
1	V	378
1	A	503
1	V	Inf
1	AV	385
1	AV	194
1	V	493
1	A	212
1	A	208
1	A	207
1	V	297
1	V	249
1	A	179
1	A	240
1	V	253
1	A	321
1	V	259
1	AV	223
1	AV	191
1	AV	195
1	V	302
1	A	339
1	AV	206
1	V	267
1	A	431
1	AV	249
1	V	Inf
1	AV	440
1	AV	245
1	A	222
1	A	221
1	AV	194
1	A	231
1	AV	798
1	AV	237
1	A	246
1	V	273
1	V	239
1	A	211
1	V	246
1	V	229
1	A	206
1	V	250
1	AV	204
1	AV	204
1	V	281
1	A	527
1	A	197
1	V	273
1	V	266
1	A	228
1	V	275
1	AV	212
1	V	269
1	V	263
1	V	333
1	V	246
1	AV	499
1	A	199
1	A	201
1	AV	208
1	V	287
1	AV	173
1	A	197
1	A	210
1	A	195
1	AV	255
1	A	251
1	AV	216
1	V	304
1	A	348
1	AV	495
1	V	220
1	AV	230
1	AV	406
1	A	257
1	A	197
1	A	189
1	V	270
1	AV	230
1	AV	207
1	AV	179
1	AV	232
1	AV	214
1	AV	184
1	A	520
1	V	253
1	V	249
1	AV	197
1	AV	506
1	A	169
1	A	166
1	AV	170
1	A	Inf
1	AV	101
1	AV	169
1	AV	193
1	V	283
1	A	205
1	V	284
1	AV	192
1	AV	222
1	AV	186
1	V	615
1	AV	174
1	A	199
1	AV	223
1	V	355
1	AV	174
1	AV	188
1	A	208
1	V	243
1	V	233
1	V	265
1	V	234
1	A	162
1	AV	198
1	V	255
1	V	261
1	AV	262
1	V	242
1	V	125
1	A	203
1	A	274
1	V	Inf
1	AV	309
1	A	219
1	V	371
1	V	334
1	A	393
1	V	552
1	A	444
1	AV	227
1	A	239
1	A	365
1	A	258
1	V	Inf
1	V	392
1	V	265
1	AV	180
1	A	493
1	V	267
1	V	312
1	AV	175
1	AV	191
1	AV	210
1	A	228
1	A	230
1	AV	196
1	A	312
1	V	267
1	V	247
1	V	252
1	A	722
1	V	294
1	AV	479
1	AV	230
1	AV	175
1	V	405
1	V	255
1	A	192
1	V	292
1	A	472
1	AV	219
1	AV	191
1	AV	260
1	AV	224
1	AV	243
1	AV	224
1	A	257
1	A	765
1	A	190
1	A	213
1	AV	214
1	V	276
1	V	243
1	AV	216
1	A	364
1	AV	266
1	AV	219
1	AV	202
1	A	224
1	AV	221
1	AV	198
1	A	210
1	V	232
1	V	279
1	AV	212
1	AV	223
1	V	251
1	AV	525
1	AV	206
1	A	190
1	V	479
1	AV	323
1	A	205
1	V	673
1	V	247
1	AV	182
1	AV	162
1	A	446
1	V	247
1	A	191
1	AV	275
1	V	227
1	A	469
1	A	201
1	V	275
1	AV	256
1	A	524
1	AV	189
1	A	269
1	AV	192
1	V	290
1	V	242
1	AV	199
1	A	240
1	A	214
1	V	282
1	AV	177
1	AV	493
1	AV	250
1	A	222
1	V	223
1	AV	571
1	V	304
1	V	219
1	V	242
1	V	237
1	A	611
1	V	234
1	A	187
1	V	270
1	A	197
1	AV	189
1	AV	223
1	AV	221
1	V	354
1	V	619
1	V	277
1	A	562
1	V	380
1	A	235
1	A	210
1	AV	273
1	V	258
1	AV	234
1	AV	213
1	V	359
1	A	214
1	AV	248
1	V	363
1	A	390
1	A	225
1	A	212
1	V	310
1	AV	203
1	AV	225
1	A	218
1	V	247
1	A	572
1	V	313
1	AV	236
1	A	251
1	V	298
1	A	370
1	A	731
1	A	339
1	V	357
1	A	434
1	A	477
1	A	352
1	AV	463
1	AV	199
1	V	228
1	AV	213
1	V	253
1	V	249
1	A	190
1	A	186
1	AV	185
1	AV	171
1	A	189
1	A	186
1	A	248
1	A	254
1	A	219
1	AV	209
1	V	241
1	V	273
1	AV	235
1	A	456
1	A	199
1	AV	157
1	A	143
1	V	Inf
1	V	254
1	V	256
1	A	168
1	A	204
1	A	188
1	V	435
1	V	253
1	A	185
1	AV	176
1	A	201
1	A	176
1	AV	179
1	V	226
1	V	230
1	AV	224
1	V	256
1	A	271
1	V	290
1	A	226
1	V	332
1	AV	187
1	V	282
1	V	309
1	V	328
1	A	199
1	AV	316
1	A	241
1	A	278
1	A	845
1	V	408
1	V	347
1	AV	416
1	A	259
1	AV	232
1	AV	469
1	V	443
1	AV	221
1	V	280
1	AV	221
1	A	229
1	AV	715
1	V	300
1	AV	490
1	AV	177
1	V	224
1	AV	Inf
1	AV	181
1	AV	195
1	AV	217
1	A	194
1	AV	190
1	AV	193
1	A	225
1	V	315
1	V	231
1	V	224
